b'400\r\n'
"b'169170 \t 145 \t \t 400\r\n'"
"b'170221 \t 146 \t \t 400\r\n'"
"b'171272 \t 142 \t \t 400\r\n'"
"b'172321 \t 144 \t \t 400\r\n'"
"b'173372 \t 143 \t \t 400\r\n'"
"b'174423 \t 145 \t \t 400\r\n'"
"b'175473 \t 146 \t \t 400\r\n'"
"b'176524 \t 143 \t \t 400\r\n'"
"b'177574 \t 141 \t \t 400\r\n'"
"b'178625 \t 144 \t \t 400\r\n'"
"b'179676 \t 142 \t \t 400\r\n'"
"b'180726 \t 146 \t \t 400\r\n'"
"b'181777 \t 141 \t \t 400\r\n'"
"b'182827 \t 143 \t \t 400\r\n'"
"b'183877 \t 145 \t \t 400\r\n'"
"b'184928 \t 143 \t \t 400\r\n'"
"b'185978 \t 146 \t \t 400\r\n'"
"b'187029 \t 149 \t \t 400\r\n'"
"b'188080 \t 149 \t \t 400\r\n'"
"b'189130 \t 135 \t \t 400\r\n'"
"b'190181 \t 147 \t \t 400\r\n'"
"b'191232 \t 142 \t \t 400\r\n'"
"b'192282 \t 144 \t \t 400\r\n'"
"b'193332 \t 141 \t \t 400\r\n'"
"b'194382 \t 142 \t \t 400\r\n'"
"b'195433 \t 143 \t \t 400\r\n'"
"b'196484 \t 142 \t \t 400\r\n'"
"b'197534 \t 144 \t \t 400\r\n'"
"b'198585 \t 142 \t \t 400\r\n'"
"b'199635 \t 145 \t \t 400\r\n'"
"b'200686 \t 144 \t \t 400\r\n'"
"b'201737 \t 150 \t \t 400\r\n'"
"b'202786 \t 147 \t \t 400\r\n'"
"b'203837 \t 143 \t \t 400\r\n'"
"b'204888 \t 143 \t \t 400\r\n'"
"b'205938 \t 143 \t \t 400\r\n'"
"b'206989 \t 145 \t \t 400\r\n'"
"b'208039 \t 148 \t \t 400\r\n'"
"b'209090 \t 149 \t \t 400\r\n'"
"b'210141 \t 155 \t \t 400\r\n'"
"b'211191 \t 149 \t \t 400\r\n'"
"b'212242 \t 153 \t \t 400\r\n'"
"b'213292 \t 153 \t \t 400\r\n'"
"b'214342 \t 153 \t \t 400\r\n'"
