"b'18\t  508\n'"
"b'289974\t  107\t  476\n'"
"b'291024\t  110\t  476\n'"
"b'292075\t  108\t  482\n'"
"b'293126\t  105\t  478\n'"
"b'294176\t  108\t  469\n'"
"b'295227\t  109\t  476\n'"
"b'296276\t  107\t  466\n'"
"b'297327\t  105\t  479\n'"
"b'298378\t  108\t  481\n'"
"b'299428\t  102\t  471\n'"
"b'300479\t  104\t  473\n'"
"b'****Baseline values: eCO2: 0x96B1 & TVOC: 0x93CA\r\n'"
"b'Valores seteados\r\n'"
"b'301544\t  104\t  477\n'"
"b'302595\t  111\t  477\n'"
"b'303644\t  103\t  469\n'"
"b'304695\t  106\t  476\n'"
"b'305745\t  107\t  478\n'"
"b'306796\t  105\t  481\n'"
"b'307847\t  101\t  467\n'"
"b'308897\t  108\t  477\n'"
"b'309948\t  114\t  481\n'"
"b'310999\t  111\t  479\n'"
"b'312048\t  100\t  467\n'"
"b'313099\t  103\t  469\n'"
"b'314149\t  107\t  470\n'"
"b'315200\t  105\t  474\n'"
"b'316251\t  103\t  468\n'"
"b'317301\t  105\t  475\n'"
"b'318352\t  106\t  479\n'"
"b'319403\t  102\t  474\n'"
"b'320453\t  104\t  476\n'"
"b'321503\t  111\t  477\n'"
"b'322553\t  103\t  473\n'"
"b'323604\t  101\t  478\n'"
"b'324655\t  107\t  486\n'"
"b'325705\t  106\t  485\n'"
"b'326756\t  100\t  482\n'"
"b'327806\t  104\t  485\n'"
"b'328857\t  108\t  487\n'"
"b'329907\t  106\t  481\n'"
"b'330957\t  106\t  480\n'"
"b'332008\t  102\t  482\n'"
"b'333059\t  108\t  492\n'"
"b'334109\t  105\t  482\n'"
"b'335160\t  107\t  486\n'"
"b'336210\t  109\t  481\n'"
"b'337261\t  107\t  487\n'"
"b'338311\t  109\t  485\n'"
"b'339361\t  104\t  480\n'"
"b'340412\t  106\t  489\n'"
"b'341463\t  106\t  481\n'"
"b'342513\t  105\t  485\n'"
"b'343564\t  108\t  484\n'"
"b'344614\t  105\t  482\n'"
"b'345665\t  107\t  491\n'"
"b'346715\t  102\t  481\n'"
"b'347765\t  109\t  483\n'"
"b'348816\t  111\t  484\n'"
"b'349867\t  107\t  496\n'"
"b'350917\t  109\t  483\n'"
"b'351968\t  109\t  484\n'"
"b'353018\t  108\t  489\n'"
"b'354069\t  108\t  479\n'"
"b'355119\t  111\t  488\n'"
"b'356169\t  105\t  484\n'"
"b'357220\t  106\t  480\n'"
"b'358270\t  105\t  485\n'"
"b'359321\t  105\t  478\n'"
"b'360372\t  107\t  485\n'"
"b'361422\t  103\t  477\n'"
"b'362473\t  106\t  478\n'"
"b'363523\t  114\t  493\n'"
"b'364573\t  104\t  485\n'"
"b'365624\t  104\t  490\n'"
"b'366674\t  106\t  484\n'"
"b'367725\t  103\t  478\n'"
"b'368776\t  106\t  490\n'"
"b'369826\t  107\t  490\n'"
"b'370877\t  104\t  485\n'"
"b'371927\t  109\t  490\n'"
"b'372977\t  105\t  489\n'"
"b'374028\t  104\t  484\n'"
"b'375078\t  107\t  487\n'"
"b'376129\t  106\t  489\n'"
"b'377180\t  104\t  494\n'"
"b'378230\t  111\t  490\n'"
"b'379281\t  111\t  489\n'"
