"b'18\t  508\n'"
"b'1570627\t  117\t  510\n'"
"b'1571677\t  117\t  504\n'"
"b'1572727\t  114\t  502\n'"
"b'1573778\t  116\t  506\n'"
"b'1574829\t  115\t  499\n'"
"b'1575879\t  114\t  511\n'"
"b'1576930\t  115\t  510\n'"
"b'1577980\t  117\t  500\n'"
"b'1579031\t  116\t  509\n'"
"b'1580082\t  115\t  501\n'"
"b'1581132\t  112\t  497\n'"
"b'1582183\t  114\t  501\n'"
"b'1583234\t  115\t  500\n'"
"b'1584284\t  122\t  501\n'"
"b'1585334\t  116\t  506\n'"
"b'1586384\t  115\t  508\n'"
"b'1587435\t  115\t  500\n'"
"b'1588486\t  120\t  499\n'"
"b'1589536\t  119\t  506\n'"
"b'1590587\t  116\t  502\n'"
"b'1591638\t  109\t  500\n'"
"b'1592688\t  114\t  496\n'"
"b'1593739\t  109\t  495\n'"
"b'1594789\t  118\t  510\n'"
"b'1595840\t  118\t  510\n'"
"b'1596891\t  114\t  504\n'"
"b'1597941\t  113\t  501\n'"
"b'1598991\t  111\t  500\n'"
"b'1600041\t  114\t  500\n'"
"b'1601092\t  111\t  506\n'"
"b'1602143\t  113\t  500\n'"
"b'1603193\t  111\t  499\n'"
"b'1604244\t  110\t  508\n'"
"b'1605295\t  116\t  500\n'"
"b'1606345\t  115\t  511\n'"
"b'1607396\t  116\t  512\n'"
"b'1608446\t  115\t  515\n'"
"b'1609497\t  114\t  511\n'"
"b'1610548\t  120\t  514\n'"
"b'1611598\t  116\t  500\n'"
"b'1612648\t  115\t  508\n'"
"b'1613699\t  119\t  509\n'"
"b'1614749\t  118\t  509\n'"
"b'1615800\t  114\t  505\n'"
"b'1616850\t  116\t  510\n'"
"b'1617901\t  115\t  501\n'"
"b'1618952\t  115\t  502\n'"
"b'1620002\t  116\t  501\n'"
"b'1621053\t  114\t  501\n'"
"b'1622104\t  117\t  503\n'"
"b'1623154\t  116\t  496\n'"
"b'1624205\t  117\t  507\n'"
"b'1625254\t  109\t  510\n'"
"b'1626305\t  116\t  511\n'"
"b'1627356\t  112\t  507\n'"
"b'1628406\t  113\t  506\n'"
"b'1629457\t  118\t  506\n'"
"b'1630508\t  114\t  503\n'"
"b'1631558\t  118\t  516\n'"
"b'1632609\t  117\t  505\n'"
"b'1633659\t  114\t  509\n'"
"b'1634710\t  116\t  503\n'"
"b'1635761\t  118\t  508\n'"
"b'1636811\t  117\t  510\n'"
"b'1637862\t  111\t  504\n'"
"b'1638912\t  117\t  511\n'"
"b'1639962\t  115\t  507\n'"
"b'1641013\t  119\t  511\n'"
"b'1642063\t  114\t  504\n'"
"b'1643114\t  113\t  510\n'"
"b'1644165\t  114\t  515\n'"
"b'1645215\t  111\t  505\n'"
"b'1646266\t  114\t  503\n'"
"b'1647316\t  116\t  511\n'"
"b'1648367\t  118\t  507\n'"
"b'1649418\t  109\t  510\n'"
"b'1650468\t  114\t  509\n'"
"b'1651519\t  116\t  514\n'"
"b'1652569\t  113\t  505\n'"
"b'1653619\t  115\t  507\n'"
"b'1654670\t  112\t  506\n'"
"b'1655720\t  113\t  514\n'"
"b'1656771\t  110\t  503\n'"
"b'1657822\t  115\t  509\n'"
"b'1658872\t  116\t  513\n'"
"b'1659923\t  114\t  513\n'"
"b'1660974\t  116\t  509\n'"
"b'1662024\t  117\t  514\n'"
"b'1663075\t  114\t  510\n'"
"b'1664125\t  116\t  508\n'"
"b'1665175\t  118\t  506\n'"
"b'1666226\t  115\t  508\n'"
"b'1667276\t  119\t  509\n'"
"b'1668327\t  115\t  502\n'"
"b'1669378\t  111\t  510\n'"
"b'1670428\t  116\t  510\n'"
"b'1671479\t  111\t  501\n'"
"b'1672529\t  116\t  507\n'"
"b'1673580\t  109\t  504\n'"
"b'1674631\t  117\t  506\n'"
"b'1675681\t  118\t  510\n'"
"b'1676732\t  115\t  499\n'"
"b'1677783\t  113\t  505\n'"
"b'1678832\t  111\t  503\n'"
"b'1679883\t  118\t  513\n'"
"b'1680933\t  112\t  504\n'"
"b'1681984\t  120\t  508\n'"
"b'1683035\t  123\t  507\n'"
"b'1684085\t  106\t  496\n'"
"b'1685136\t  120\t  505\n'"
"b'1686187\t  114\t  506\n'"
"b'1687237\t  111\t  495\n'"
"b'1688288\t  111\t  499\n'"
"b'1689338\t  111\t  496\n'"
"b'1690389\t  118\t  501\n'"
"b'1691439\t  115\t  507\n'"
"b'1692489\t  118\t  497\n'"
"b'1693540\t  117\t  501\n'"
"b'1694590\t  112\t  499\n'"
"b'1695641\t  117\t  497\n'"
"b'1696692\t  116\t  497\n'"
"b'1697742\t  111\t  503\n'"
"b'1698793\t  115\t  495\n'"
